# SimpleSim Simulation Results - 20250624_224442
# Generated: 2025-06-24 22:44:42
# Economic Parameters: Working Hours=166.4, Absence=16.0%, Utilization=85.0%, Employment Cost Rate=40.0%, Other Expense=19,000,000 SEK/month

=== OFFICE SUMMARY ===
Office,Year,Total FTE,Consultants,Total Hours,Avg Price,Revenue (SEK),Salary Cost (SEK),Employment Cost (SEK),EBITDA (SEK),Margin (%)
Helsinki,2025-10,195,0,0,0,0
Helsinki,2025-11,206,0,0,0,0
Helsinki,2025-12,217,0,0,0,0
Oslo,2025-1,124,0,0,0,0
Oslo,2025-2,128,0,0,0,0
Oslo,2025-3,132,0,0,0,0
Oslo,2025-4,139,0,0,0,0
Oslo,2025-5,145,0,0,0,0
Oslo,2025-6,150,0,0,0,0
Oslo,2025-7,157,0,0,0,0
Oslo,2025-8,168,0,0,0,0
Oslo,2025-9,175,0,0,0,0
Oslo,2025-10,182,0,0,0,0
Oslo,2025-11,193,0,0,0,0
Oslo,2025-12,201,0,0,0,0
Berlin,2025-1,111,0,0,0,0
Berlin,2025-2,115,0,0,0,0
Berlin,2025-3,120,0,0,0,0
Berlin,2025-4,124,0,0,0,0
Berlin,2025-5,130,0,0,0,0
Berlin,2025-6,134,0,0,0,0
Berlin,2025-7,141,0,0,0,0
Berlin,2025-8,148,0,0,0,0
Berlin,2025-9,155,0,0,0,0
Berlin,2025-10,160,0,0,0,0
Berlin,2025-11,171,0,0,0,0
Berlin,2025-12,180,0,0,0,0
Copenhagen,2025-1,95,0,0,0,0
Copenhagen,2025-2,99,0,0,0,0
Copenhagen,2025-3,102,0,0,0,0
Copenhagen,2025-4,106,0,0,0,0
Copenhagen,2025-5,111,0,0,0,0
Copenhagen,2025-6,115,0,0,0,0
Copenhagen,2025-7,119,0,0,0,0
Copenhagen,2025-8,124,0,0,0,0
Copenhagen,2025-9,132,0,0,0,0
Copenhagen,2025-10,137,0,0,0,0
Copenhagen,2025-11,146,0,0,0,0
Copenhagen,2025-12,151,0,0,0,0
Zurich,2025-1,41,0,0,0,0
Zurich,2025-2,41,0,0,0,0
Zurich,2025-3,43,0,0,0,0
Zurich,2025-4,45,0,0,0,0
Zurich,2025-5,47,0,0,0,0
Zurich,2025-6,47,0,0,0,0
Zurich,2025-7,51,0,0,0,0
Zurich,2025-8,53,0,0,0,0
Zurich,2025-9,55,0,0,0,0
Zurich,2025-10,57,0,0,0,0
Zurich,2025-11,63,0,0,0,0
Zurich,2025-12,65,0,0,0,0
Frankfurt,2025-1,27,0,0,0,0
Frankfurt,2025-2,27,0,0,0,0
Frankfurt,2025-3,27,0,0,0,0
Frankfurt,2025-4,28,0,0,0,0
Frankfurt,2025-5,29,0,0,0,0
Frankfurt,2025-6,29,0,0,0,0
Frankfurt,2025-7,30,0,0,0,0
Frankfurt,2025-8,33,0,0,0,0
Frankfurt,2025-9,35,0,0,0,0
Frankfurt,2025-10,35,0,0,0,0
Frankfurt,2025-11,37,0,0,0,0
Frankfurt,2025-12,38,0,0,0,0
Amsterdam,2025-1,22,0,0,0,0
Amsterdam,2025-2,22,0,0,0,0
Amsterdam,2025-3,22,0,0,0,0
Amsterdam,2025-4,22,0,0,0,0
Amsterdam,2025-5,23,0,0,0,0
Amsterdam,2025-6,23,0,0,0,0
Amsterdam,2025-7,24,0,0,0,0
Amsterdam,2025-8,24,0,0,0,0
Amsterdam,2025-9,25,0,0,0,0
Amsterdam,2025-10,25,0,0,0,0
Amsterdam,2025-11,27,0,0,0,0
Amsterdam,2025-12,29,0,0,0,0
Cologne,2025-1,21,0,0,0,0
Cologne,2025-2,21,0,0,0,0
Cologne,2025-3,21,0,0,0,0
Cologne,2025-4,21,0,0,0,0
Cologne,2025-5,22,0,0,0,0
Cologne,2025-6,22,0,0,0,0
Cologne,2025-7,25,0,0,0,0
Cologne,2025-8,25,0,0,0,0
Cologne,2025-9,26,0,0,0,0
Cologne,2025-10,26,0,0,0,0
Cologne,2025-11,29,0,0,0,0
Cologne,2025-12,31,0,0,0,0
Toronto,2025-1,5,0,0,0,0
Toronto,2025-2,5,0,0,0,0
Toronto,2025-3,5,0,0,0,0
Toronto,2025-4,5,0,0,0,0
Toronto,2025-5,5,0,0,0,0
Toronto,2025-6,5,0,0,0,0
Toronto,2025-7,5,0,0,0,0
Toronto,2025-8,5,0,0,0,0
Toronto,2025-9,5,0,0,0,0
Toronto,2025-10,5,0,0,0,0
Toronto,2025-11,5,0,0,0,0
Toronto,2025-12,5,0,0,0,0
NonExistent,2025-1,0,0,0,0,0
NonExistent,2025-2,0,0,0,0,0
NonExistent,2025-3,0,0,0,0,0
NonExistent,2025-4,0,0,0,0,0
NonExistent,2025-5,0,0,0,0,0
NonExistent,2025-6,0,0,0,0,0
NonExistent,2025-7,0,0,0,0,0
NonExistent,2025-8,0,0,0,0,0
NonExistent,2025-9,0,0,0,0,0
NonExistent,2025-10,0,0,0,0,0
NonExistent,2025-11,0,0,0,0,0
NonExistent,2025-12,0,0,0,0,0
